"Date of Download: 2024-01-09_21:15:14"
"Search Parameters: Data Level:all  Trait List:  Trial List:11847,11848,11850,11851  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","cassava mosaic disease severity 1-month evaluation|CO_334:0000191","cassava mosaic disease severity 3-month evaluation|CO_334:0000192","cassava mosaic disease severity 6-month evaluation|CO_334:0000194","cassava mosaic disease severity 9-month evaluation|CO_334:0000193","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","initial plant vigor assessment 1-5|month 1|COMP:0000370","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","number of planted stakes per plot counting|CO_334:0000159","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root number per plot counting|CO_334:0000011","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","2732020","CR24-16","","plot","6809927","2023111DMF1C_dona_rep1_CR24-16_159","1","1","159","15","9","check","","0","1","1","1","1","1","160","7.5","2.4","3","3.25","1","20","4","","160","3","0","1","28.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377675","HLF22-0007","","plot","6809935","2023111DMF1C_dona_rep1_HLF22-0007_118","1","1","118","10","7","test","","1","1","1","1","1","1","220","18.125","5.8","4","3","1","28","4","","280","4","0","1","27"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377676","HLF22-0008","","plot","6809982","2023111DMF1C_dona_rep1_HLF22-0008_288","1","1","288","1","16","test","","1","1","1","1","1","1","170","1.25","0.4","3","2","1","4","4","","260","4","0","1",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377678","HLF22-0010","","plot","6810326","2023111DMF1C_dona_rep1_HLF22-0010_21","1","1","21","16","2","test","","0","3.25","1","1","1","1","290","15.625","5","3","3","1","21","4","","290","4","0","1","19.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377679","HLF22-0011","","plot","6810464","2023111DMF1C_dona_rep1_HLF22-0011_101","1","1","101","8","6","test","","2","1","1","1","1","1","300","","","2.66666666666667","2","1","","4","","340","3","0","1",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377680","HLF22-0012","","plot","6810405","2023111DMF1C_dona_rep1_HLF22-0012_192","1","1","192","12","11","test","","3","1","1","1","1","1","130","32.5","10.4","4","4","1","43","4","","240","4","0","1","28.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377681","HLF22-0013","","plot","6809915","2023111DMF1C_dona_rep1_HLF22-0013_301","1","1","301","13","17","test","","2","1","1","1","1","1","180","2.5","0.8","2.66666666666667","1","1","9","4","","230","3","0","1",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377683","HLF22-0015","","plot","6810094","2023111DMF1C_dona_rep1_HLF22-0015_164","1","1","164","17","10","test","","2","1.66666666666667","1","1","1.33333333333333","1","220","12.5","4","3","2","1","20","4","","270","3","0","1","20.0957918552036"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377685","HLF22-0017","","plot","6810450","2023111DMF1C_dona_rep1_HLF22-0017_148","1","1","148","4","9","test","","0","1","1","1","1","1","270","1.25","0.4","4","5","1","2","4","","270","4","0","1",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377689","HLF22-0021","","plot","6810028","2023111DMF1C_dona_rep1_HLF22-0021_52","1","1","52","16","3","test","","2","4","1","1","1","2","210","7.5","2.4","2","3.5","1","16","4","","250","1","0","1","22.5191666666666"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377691","HLF22-0023","","plot","6810121","2023111DMF1C_dona_rep1_HLF22-0023_205","1","1","205","12","12","test","","0","1","1","1","1.5","1","220","1.875","0.6","2","2","1","10","4","","220","4","0","1","17.0788073394495"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377696","HLF22-0028","","plot","6810426","2023111DMF1C_dona_rep1_HLF22-0028_2","1","1","2","2","1","test","","1","4.5","1","1","1","1","90","4.0625","1.3","3","3","1","5","4","","270","1","0","1","23.3034453781512"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377699","HLF22-0031","","plot","6810466","2023111DMF1C_dona_rep1_HLF22-0031_186","1","1","186","6","11","test","","1","1","1","1","2.5","1","350","48.125","15.4","5","5","1","44","4","","370","4","0","1","31.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377700","HLF22-0032","","plot","6810271","2023111DMF1C_dona_rep1_HLF22-0032_224","1","1","224","8","13","test","","0","1","1","1","1","1","400","37.5","12","5","5","1","40","4","","400","4","0","1","26.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377702","HLF22-0034","","plot","6810220","2023111DMF1C_dona_rep1_HLF22-0034_165","1","1","165","16","10","test","","0","1","1","1","1","1","370","19.0625","6.1","4","2","1","30","4","","370","4","0","1","26"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377706","HLF22-0038","","plot","6809922","2023111DMF1C_dona_rep1_HLF22-0038_129","1","1","129","16","8","test","","0","1","1","1","1","1","310","41.875","13.4","4","3","1","45","4","","310","4","0","1","29"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377707","HLF22-0039","","plot","6810328","2023111DMF1C_dona_rep1_HLF22-0039_7","1","1","7","7","1","test","","0","1","1","1","1","1","190","15.625","5","2","2","1","20","4","","190","4","0","1","23.3246341463415"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377708","HLF22-0040","","plot","6809854","2023111DMF1C_dona_rep1_HLF22-0040_292","1","1","292","4","17","test","","0","1","1","1","1","1","290","20","6.4","4","4","1","29","4","","290","4","0","1","23"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377711","HLF22-0043","","plot","6810197","2023111DMF1C_dona_rep1_HLF22-0043_179","1","1","179","2","10","test","","2","1","1","2","1","3","140","6.875","2.2","4","3","1","15","4","","300","4","0","1","14.6000613496932"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377715","HLF22-0047","","plot","6810390","2023111DMF1C_dona_rep1_HLF22-0047_316","1","1","316","9","18","test","","0","1","1","1","1","1","300","24.375","7.8","4","3","1","32","4","","300","4","0","1","29.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377716","HLF22-0048","","plot","6810325","2023111DMF1C_dona_rep1_HLF22-0048_218","1","1","218","2","13","test","","0","1","1","1","1","1","360","28.125","9","4","4","1","23","4","","360","4","0","1","29.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377720","HLF22-0052","","plot","6810241","2023111DMF1C_dona_rep1_HLF22-0052_204","1","1","204","13","12","test","","0","1","1","1","1","1","310","25.625","8.2","3","3","1","35","4","","310","4","0","1","29.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377721","HLF22-0053","","plot","6810374","2023111DMF1C_dona_rep1_HLF22-0053_108","1","1","108","1","6","test","","0","1","1","3","1","2","250","5.625","1.8","4","4","2","13","4","","250","4","0","1","18.3596907216495"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377722","HLF22-0054","","plot","6809900","2023111DMF1C_dona_rep1_HLF22-0054_237","1","1","237","16","14","test","","2","1.5","1","1","1","1","240","","","3","2","1","","4","","290","4","0","1",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377723","HLF22-0055","","plot","6809889","2023111DMF1C_dona_rep1_HLF22-0055_93","1","1","93","16","6","test","","3","1","1","1.25","1","1","120","14.375","4.6","5","3","2","28","4","","320","4","0","1","19.0562745098039"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377724","HLF22-0056","","plot","6810437","2023111DMF1C_dona_rep1_HLF22-0056_137","1","1","137","8","8","test","","1","1.75","1","1","1","1","0","31.25","10","4","3","1","38","4","","380","4","0","1","30.7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377728","HLF22-0060","","plot","6810139","2023111DMF1C_dona_rep1_HLF22-0060_104","1","1","104","5","6","test","","1","1","1","1","1","1","280","19.375","6.2","5","3","1","29","4","","370","4","0","1","21.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377731","HLF22-0063","","plot","6809923","2023111DMF1C_dona_rep1_HLF22-0063_256","1","1","256","4","15","test","","2","1","1","1","1","1","320","25.625","8.2","4","4.25","1","37","4","","360","3","0","1",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377732","HLF22-0064","","plot","6809956","2023111DMF1C_dona_rep1_HLF22-0064_241","1","1","241","12","14","test","","0","1","1","1.5","1","1","310","31.25","10","3","3","1","41","4","","310","4","0","1","25"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377733","HLF22-0065","","plot","6810164","2023111DMF1C_dona_rep1_HLF22-0065_143","1","1","143","2","8","test","","0","1","1","1","2","1","320","13.125","4.2","5","4","2","24","4","","320","4","0","1","20.3389837997054"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377735","HLF22-0067","","plot","6809975","2023111DMF1C_dona_rep1_HLF22-0067_35","1","1","35","2","2","test","","","4.5","1","1","1","0","","","","3","3","1","","4","","","","0","1",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377739","HLF22-0071","","plot","6810095","2023111DMF1C_dona_rep1_HLF22-0071_279","1","1","279","10","16","test","","2","1","1","1","1","1","140","11.875","3.8","4","2","1","21","4","","300","4","0","1","17.7391139240506"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11847","2023111DMF1C_dona","2023111DMF1C_dona","Augmented","1","3.2","","no","no","2023-March-02","2023-December-08","472","Dong Nai","6377740","HLF22-0072","","plot","6810214","2023111DMF1C_dona_rep1_HLF22-0072_239","1","1","239","14","14","test","","0","1","1","1","1","1","190","6.25","2","3","2","1","14","4","","190","3","0","1","23.2225506072874"," (Operator: lizbethpino, Time: )"
