"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","CMD_1mon","CMD_3mon","CMD_6mon","CMD_9mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","vigor1_5_1mon","lodging1_3","root_number_commercial","planted_number_plot","height","height_wt_leaf","harvest_number","root_number","germinated_number_plot","starch_content","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_CR24-16_159",1,159,15,9,"check"," (Operator: lizbethpino, Time: )","CR24-16","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,160,7.5,2.4,3,3.25,1,20,4,NA,160,3,0,1,28.2,4,25,7.5,2.115
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0007_118",1,118,10,7,"test"," (Operator: lizbethpino, Time: )","HLF22-0007","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,1,1,1,1,220,18.125,5.8,4,3,1,28,4,NA,280,4,0,1,27,4,25,18.125,4.89375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0008_288",1,288,1,16,"test"," (Operator: lizbethpino, Time: )","HLF22-0008","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,1,1,1,1,170,1.25,0.4,3,2,1,4,4,NA,260,4,0,1,NA,4,25,1.25,NA
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0010_21",1,21,16,2,"test"," (Operator: lizbethpino, Time: )","HLF22-0010","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,3.25,1,1,1,1,290,15.625,5,3,3,1,21,4,NA,290,4,0,1,19.1,4,25,15.625,2.984375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0011_101",1,101,8,6,"test"," (Operator: lizbethpino, Time: )","HLF22-0011","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",2,1,1,1,1,1,300,NA,NA,2.66666666666667,2,1,NA,4,NA,340,3,0,1,NA,4,25,NA,NA
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0012_192",1,192,12,11,"test"," (Operator: lizbethpino, Time: )","HLF22-0012","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",3,1,1,1,1,1,130,32.5,10.4,4,4,1,43,4,NA,240,4,0,1,28.2,4,25,32.5,9.165
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0013_301",1,301,13,17,"test"," (Operator: lizbethpino, Time: )","HLF22-0013","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",2,1,1,1,1,1,180,2.5,0.8,2.66666666666667,1,1,9,4,NA,230,3,0,1,NA,4,25,2.5,NA
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0015_164",1,164,17,10,"test"," (Operator: lizbethpino, Time: )","HLF22-0015","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",2,1.66666666666667,1,1,1.33333333333333,1,220,12.5,4,3,2,1,20,4,NA,270,3,0,1,20.0957918552036,4,25,12.5,2.51197398190045
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0017_148",1,148,4,9,"test"," (Operator: lizbethpino, Time: )","HLF22-0017","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,270,1.25,0.4,4,5,1,2,4,NA,270,4,0,1,NA,4,25,1.25,NA
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0021_52",1,52,16,3,"test"," (Operator: lizbethpino, Time: )","HLF22-0021","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",2,4,1,1,1,2,210,7.5,2.4,2,3.5,1,16,4,NA,250,1,0,1,22.5191666666666,4,25,7.5,1.6889375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0023_205",1,205,12,12,"test"," (Operator: lizbethpino, Time: )","HLF22-0023","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1.5,1,220,1.875,0.6,2,2,1,10,4,NA,220,4,0,1,17.0788073394495,4,25,1.875,0.320227637614678
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0028_2",1,2,2,1,"test"," (Operator: lizbethpino, Time: )","HLF22-0028","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,4.5,1,1,1,1,90,4.0625,1.3,3,3,1,5,4,NA,270,1,0,1,23.3034453781512,4,25,4.0625,0.946702468487393
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0031_186",1,186,6,11,"test"," (Operator: lizbethpino, Time: )","HLF22-0031","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,1,1,2.5,1,350,48.125,15.4,5,5,1,44,4,NA,370,4,0,1,31.5,4,25,48.125,15.159375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0032_224",1,224,8,13,"test"," (Operator: lizbethpino, Time: )","HLF22-0032","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,400,37.5,12,5,5,1,40,4,NA,400,4,0,1,26.3,4,25,37.5,9.8625
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0034_165",1,165,16,10,"test"," (Operator: lizbethpino, Time: )","HLF22-0034","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,370,19.0625,6.1,4,2,1,30,4,NA,370,4,0,1,26,4,25,19.0625,4.95625
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0038_129",1,129,16,8,"test"," (Operator: lizbethpino, Time: )","HLF22-0038","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,310,41.875,13.4,4,3,1,45,4,NA,310,4,0,1,29,4,25,41.875,12.14375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0039_7",1,7,7,1,"test"," (Operator: lizbethpino, Time: )","HLF22-0039","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,190,15.625,5,2,2,1,20,4,NA,190,4,0,1,23.3246341463415,4,25,15.625,3.64447408536586
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0040_292",1,292,4,17,"test"," (Operator: lizbethpino, Time: )","HLF22-0040","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,290,20,6.4,4,4,1,29,4,NA,290,4,0,1,23,4,25,20,4.6
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0043_179",1,179,2,10,"test"," (Operator: lizbethpino, Time: )","HLF22-0043","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",2,1,1,2,1,3,140,6.875,2.2,4,3,1,15,4,NA,300,4,0,1,14.6000613496932,4,25,6.875,1.00375421779141
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0047_316",1,316,9,18,"test"," (Operator: lizbethpino, Time: )","HLF22-0047","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,300,24.375,7.8,4,3,1,32,4,NA,300,4,0,1,29.8,4,25,24.375,7.26375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0048_218",1,218,2,13,"test"," (Operator: lizbethpino, Time: )","HLF22-0048","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,360,28.125,9,4,4,1,23,4,NA,360,4,0,1,29.9,4,25,28.125,8.409375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0052_204",1,204,13,12,"test"," (Operator: lizbethpino, Time: )","HLF22-0052","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,1,1,310,25.625,8.2,3,3,1,35,4,NA,310,4,0,1,29.5,4,25,25.625,7.559375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0053_108",1,108,1,6,"test"," (Operator: lizbethpino, Time: )","HLF22-0053","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,3,1,2,250,5.625,1.8,4,4,2,13,4,NA,250,4,0,1,18.3596907216495,4,25,5.625,1.03273260309278
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0054_237",1,237,16,14,"test"," (Operator: lizbethpino, Time: )","HLF22-0054","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",2,1.5,1,1,1,1,240,NA,NA,3,2,1,NA,4,NA,290,4,0,1,NA,4,25,NA,NA
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0055_93",1,93,16,6,"test"," (Operator: lizbethpino, Time: )","HLF22-0055","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",3,1,1,1.25,1,1,120,14.375,4.6,5,3,2,28,4,NA,320,4,0,1,19.0562745098039,4,25,14.375,2.73933946078431
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0056_137",1,137,8,8,"test"," (Operator: lizbethpino, Time: )","HLF22-0056","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1.75,1,1,1,1,0,31.25,10,4,3,1,38,4,NA,380,4,0,1,30.7,4,25,31.25,9.59375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0060_104",1,104,5,6,"test"," (Operator: lizbethpino, Time: )","HLF22-0060","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,1,1,1,1,280,19.375,6.2,5,3,1,29,4,NA,370,4,0,1,21.8,4,25,19.375,4.22375
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0063_256",1,256,4,15,"test"," (Operator: lizbethpino, Time: )","HLF22-0063","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",2,1,1,1,1,1,320,25.625,8.2,4,4.25,1,37,4,NA,360,3,0,1,NA,4,25,25.625,NA
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0064_241",1,241,12,14,"test"," (Operator: lizbethpino, Time: )","HLF22-0064","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1.5,1,1,310,31.25,10,3,3,1,41,4,NA,310,4,0,1,25,4,25,31.25,7.8125
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0065_143",1,143,2,8,"test"," (Operator: lizbethpino, Time: )","HLF22-0065","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",0,1,1,1,2,1,320,13.125,4.2,5,4,2,24,4,NA,320,4,0,1,20.3389837997054,4,25,13.125,2.66949162371133
2023,"2023111DMF1C_dona","2023111DMF1C_dona",1,3.2,"2023-March-02","2023-December-08","Dong Nai",NA,"2023111DMF1C_dona_rep1_HLF22-0067_35",1,35,2,2,"test"," (Operator: lizbethpino, Time: )","HLF22-0067","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",NA,4.5,1,1,1,0,NA,NA,NA,3,3,1,NA,4,NA,NA,NA,0,1,NA,4,25,NA,NA
